用例编号,所属产品,所属模块,相关研发需求,用例标题,前置条件,步骤,预期,实际情况,关键词,优先级,用例类型,适用阶段,用例状态,B,R,S,结果,由谁创建,创建日期,最后修改者,修改日期,用例版本,相关用例,附件
825,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台推送(#426),推送对象为空，推送内容有,管理员成功登录后台管理系统,"1. 点击推送
2. 不填推送对象，填写推送内容","1. 弹出推送编辑窗口
2. 提示推送成功，记录显示推送对象为全部会员","符合预期结果1. 符合预期结果
2. 提示不明确，记录显示符合预期结果",推送,3,功能测试,"
功能测试阶段",正常,0,1,2,失败,朱霄涵,2021/12/10,朱霄涵,2021/12/10,2,,
750,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师登录(#411), 讲师登录界面输入正确的验证码和手机号点击登录是否跳至相应界面,,"1.  讲师登录界面输入正确的验证码
2.  讲师登录界面输入正确的手机号
3. 点击登录","1. 
2. 
3. 跳至相应界面","1. 
2. 
3.",,3,功能测试,,正常,0,1,3,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
749,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师登录(#411), 讲师登录界面点击获取验证码是否手机是否能接受到验证码,,"1.  讲师登录界面输入手机号
2.  讲师登录界面点击获取验证码","1. 
2. 手机接受到验证码","1. 
2.",,3,功能测试,,正常,0,1,2,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
748,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师登录(#411), 讲师登录界面输入手机号是否能判断是否是手机号范围,,"1. 讲师登录界面输入超出13位手机号
2.  讲师登录界面输入小于13位手机号
3.  讲师登录界面输入等于13位手机号","1. 提示失败
2. 提示失败
3. 提示成功2秒后跳转下个界面","1. 
2. 
3.",,3,功能测试,,正常,0,1,3,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
747,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师登录(#411), 讲师登录界面点击验证码登录是否跳转至相应界面,,1.  讲师登录界面点击验证码登录选项,1. 跳转至相应界面,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
743,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师账号(#417),讲师账号能否正常显示更改后的昵称,,1. 更改讲师账号昵称,1. 跳入下个界面并正常显示昵称,没有更改昵称选项1. 没有更改昵称选项,,3,功能测试,,正常,0,1,1,阻塞,燕子,2021/12/9,燕子,2021/12/10,2,,
742,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师账号(#417),讲师账号能否正常显示更改后的头像,,1. 讲师账号更改头像,1. 讲师账号正常显示更改后的头像,没有更改头像选项1. 没有更改头像选项,,3,功能测试,,正常,0,1,1,阻塞,燕子,2021/12/9,燕子,2021/12/10,2,,
741,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师账号(#417),讲师账号能否正常显示更改昵称,,1. 查看讲师账号界面,1. 讲师账号正常显示更改昵称选项,没有更改昵称选项1. 没有更改昵称选项,,3,功能测试,,正常,0,1,1,阻塞,燕子,2021/12/9,燕子,2021/12/10,4,,
740,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师账号(#417),讲师账号能否正常显示更改头像,,1. 查看讲师账号首页,1. 正常显示更改头像选项,没有更改头像选项1. 没有更改头像选项,,3,功能测试,,正常,0,1,1,阻塞,燕子,2021/12/9,燕子,2021/12/10,2,,
739,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师账号(#417),讲师账号能否正常显示当前昵称,,1. 查看讲师账号,1. 显示正确的当前昵称,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
738,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师账号(#417),讲师账号能否正常显示当前头像,,1. 查看讲师账号,1. 正确显示当前头像,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
730,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),视频大班课(#415), 视频大班课能否正常显示ppt图片课件,,"1. 进入 视频大班课界面
2. 上传PPT课件","1. 
2. 跳入上传课件后的网页","1. 
2.",,3,功能测试,,正常,0,1,2,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
729,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),视频大班课(#415),视频大班课能否正常与学生进行文字交流,,"1. 视频大班课讨论区输入消息
2. 点击发送","1. 
2. 讨论区显示消息","1. 
2.",,3,功能测试,,正常,0,1,2,通过,燕子,2021/12/9,燕子,2021/12/10,3,,
728,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),视频大班课(#415), 视频大班课能否正常进行屏幕分享,,"1. 视频大班课点击屏幕分享选项
2. 授予权限","1. 
2. 显示教师屏幕并开始直播","1. 
2.",,3,功能测试,,正常,0,1,2,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
727,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),视频大班课(#415), 视频大班课能否正常上传ppt图片课件,,,,,,3,功能测试,,正常,0,1,0,通过,燕子,2021/12/9,,0000-00-00,1,,
726,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),视频大班课(#415), 视频大班课能否正常开启摄像头,,"1. 视频大班课点击开启摄像头选项
2. 授予摄像头权限","1. 
2. 显示老师摄像头所录制的内容","1. 
2.",,3,功能测试,,正常,0,1,2,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
719,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),语音大班课(#416),语音大班课能否正常显示课程名称,,1. 查看视频大班课上侧,1. 显示当前视频大班课的名称,1,,3,功能测试,,正常,0,2,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
718,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),语音大班课(#416),语音大班课讲师能否正常对学生输出讨论区内容,,"1. 语音大班课讲师讨论区输入消息
2. 点击发送
3. 学生查看讨论区","1. 
2. 老师端评论区显示发送的消息
3. 学生端评论区显示接受的消息","1. 
2. 
3.",,3,功能测试,,正常,0,1,3,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
717,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),语音大班课(#416),语音大班课能否正常对讨论区禁言,,1. 语音大班课界面点击禁言选项,1. 评论区禁言选项显示“√”并不再显示新消息,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,3,,
716,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),语音大班课(#416),语音大班课能否正常上传图片,,"1. 语音大班课点击上传照片选项
2. 从电脑文件夹里选择图片
3. 上传","1. 弹出本地电脑文件夹选项
2. 
3. 显示上传成功并跳入上传图片后的语音大班课界面","1. 
2. 
3.",,3,功能测试,,正常,0,1,3,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
715,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),语音大班课(#416),语音大班课能否正常继续上课,,1. 语音大班课点击继续上课,1. 暂停的班课继续上课,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
714,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),语音大班课(#416),语音大班课能否正常添加课件,,"1. 语音大班课点击添加课件
2. 选择要上传的课件
3. 点击上传","1. 弹出本地文件夹界面
2. 
3. 加载进上传课件后的界面","1. 
2. 
3.",,3,功能测试,,正常,0,1,3,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
713,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),语音大班课(#416), 语音大班课能否正常显示参与该课程的学生用户人数,,1.  查看语音大班课右上角参与该课程的学生用户人数,1. 显示正确的参与该课程的学生用户人数,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
712,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),语音大班课(#416), 语音大班课能否正常录音,,"1.  语音大班课点击录音选项
2. 授予权限
3. 录音","1. 
2. 
3. 学生及时听到录音","1. 
2. 
3.",,3,功能测试,,正常,0,1,3,通过,燕子,2021/12/9,燕子,2021/12/10,3,,
701,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂是否可以正确搜索关键词,,"1. 讲师直播课堂输入关键词至“搜索”
2. 点击筛选选项","1. 
2. 显示有对应关键词的班课","1. 
2.",,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,燕子,2021/12/9,,0000-00-00,1,,
698,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击多个相应选项筛选是否显示相应班课,,"1. 讲师直播课堂PPT班课筛选
1.1. 讲师直播课堂点击视频选项
2. 讲师直播课堂音频班课筛选
2.1. 讲师直播课堂点击音频选项
3. 讲师直播课堂直播班课筛选
3.1. 讲师直播课堂点击直播选项
4. 讲师直播课堂视频班课筛选
4.1. 讲师直播课堂点击视频选项
4.2. 点击筛选","1. 
1.1. 
2. 
2.1. 
3. 
3.1. 
4. 
4.1. 
4.2. 显示相应班课","1. 
1.1. 
2. 
2.1. 
3. 
3.1. 
4. 
4.1. 
4.2.",,3,功能测试,,正常,0,1,5,通过,燕子,2021/12/9,燕子,2021/12/10,3,,
697,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击相应搜索筛选是否显示相应班课,,"1. 讲师直播课堂点击搜索
2. 输入关键词
3. 点击筛选","1. 
2. 
3. 显示筛选关键词后的班课","1. 
2. 
3.",,3,功能测试,,正常,0,1,3,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
696,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击相应时间筛选是否显示相应班课,,"1. 讲师直播课堂点击相应时间
2. 选择自己开始的时间
3. 点击筛选","1. 出现选择时间的列表
2. 
3. 显示相应班课","1. 
2. 
3.",,3,功能测试,,正常,0,1,3,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
695,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击相应状态筛选是否显示相应班课,,"1. 讲师直播课堂点击相应状态
2. 点击筛选","1. 显示（未直播，直播中，已结束）
2. 显示相应班课","1. 
2.",,3,功能测试,,正常,0,1,2,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
694,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击相应类型筛选是否显示相应班课,,,,,,3,功能测试,,正常,0,1,0,通过,燕子,2021/12/9,,0000-00-00,1,,
693,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，错误的验证码，含字符的密码,学生输入已注册过的手机号,1. 学生输入正确的手机号，错误的验证码，含字符的密码,1. 提示验证码错误，修改密码失败,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
692,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，正确的验证码，含字符的密码,学生输入已注册过的手机号,1. 学生输入正确的手机号，正确的验证码，含字符的密码,1. 提示密码为6-20位的数字与字母组合,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
691,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，错误的验证码，大于20位的密码,学生输入已注册的手机号,1. 学生输入正确的手机号，错误的验证码，大于20位的密码,1. 提示验证码错误,符合预期结果1.,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,3,,
690,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，正确的验证码，大于20位的密码,学生输入已注册的手机号,1. 学生输入正确的手机号，正确的验证码，大于20位的密码,1. 提示密码为6-20位的字母与数字组合,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
689,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，错误的验证码，小于6位的密码,学生输入已注册的手机号,1. 学生输入正确的手机号，错误的验证码，小于6位的密码,1. 提示验证码错误,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
688,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，正确的验证码，小于6位的密码,学生输入已注册的手机号,1. 学生输入正确的手机号，正确的验证码，小于6位的密码,1. 提示密码为6-20位的字母与数字组合,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
687,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入错误的手机号，正确的验证码，6-20位的数字密码,学生输入未注册的手机号,1. 学生输入错误的手机号，正确的验证码，6-20位的数字密码,1. 提示该手机号码未注册，请先注册,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
686,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入错误的手机号，正确的验证码，6-20位的字母密码,学生输入未注册的手机号,1. 学生输入错误的手机号，正确的验证码，6-20位的字母密码,1. 提示手机号未注册，请先注册,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
684,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击筛选是否可以进入对应界面,,,,,,3,功能测试,,正常,0,1,0,通过,燕子,2021/12/9,,0000-00-00,1,,
683,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击搜索是否可以输入字体,,,,,,3,功能测试,,正常,0,1,0,通过,燕子,2021/12/9,,0000-00-00,1,,
682,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击开播时间是否显示时间选项,,1. 讲师直播课堂点击开播时间,1. 显示相应时间选项,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
681,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击全部状态是否显示相应状态选项,,1. 讲师直播课堂点击全部状态,1. 显示相应状态选项（未直播，直播中，已结束）,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
680,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师直播课堂(#490),讲师直播课堂点击全部类型是否显示相应类型选项,,1. 讲师直播课堂点击全部类型,1. 显示相应类型选项（PPT，视频，音频，直播）,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,燕子,2021/12/10,2,,
679,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入错误的手机号，正确的验证码，6-20位的字母及数字组成的密码,学生输入未注册的手机号,1. 学生输入错误的手机号，正确的验证码，6-20位的字母及数字组成的密码,1. 提示手机号未注册，请先注册,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
678,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入错误的手机号，错误的验证码，6-20位的数字密码,学生输入未注册的手机号,1. 学生输入错误的手机号，错误的验证码，6-20位的数字密码,1. 提示手机号未注册，请先注册,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
677,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入错误的手机号，错误的验证码，6-20位的字母密码,学生输入未注册的手机号,1. 学生输入错误的手机号，错误的验证码，6-20位的字母密码,1. 提示手机号未注册，请先注册,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
676,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入错误的手机号，错误的验证码，6-20位的字母及数字组成的密码,学生输入未注册的手机号,1. 学生输入错误的手机号，错误的验证码，6-20位的字母及数字组成的密码,1. 提示手机号未注册，请先注册,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
675,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，错误的验证码，6-20位的数字密码,学生输入已注册的手机号,1. 学生输入正确的手机号，错误的验证码，6-20位的数字密码,1. 提示验证码错误,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
674,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，错误的验证码，6-20位的字母密码,学生输入已注册的手机号,1. 学生输入正确的手机号，错误的验证码，6-20位的字母密码,1. 提示验证码错误,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
673,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，错误的验证码，6-20位的字母及数字组成的密码,学生输入已注册的手机号,1. 学生输入正确的手机号，错误的验证码，6-20位的字母及数字组成的密码,1. 提示验证码错误,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
672,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，正确的验证码，6-20位的数字密码,学生输入已注册的手机号,1. 学生输入正确的手机号，正确的验证码，6-20位的数字密码,1. 提示密码为6-20位字母与数字组合,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
671,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，正确的验证码，6-20位的字母密码,学生输入已注册的手机号,1. 学生输入正确的手机号，正确的验证码，6-20位的字母密码,1. 提示密码为6-20位的字母与数字组合,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
670,万岳在线教育系统WEB开源版(#202),/学生模块(#150),学生忘记密码(#427),学生输入正确的手机号，正确的验证码，6-20位的字母及数字组成的密码,学生输入已注册的手机号,1. 学生输入正确的手机号，正确的验证码，6-20位的字母及数字组成的密码,1. 提示操作成功，修改密码成功,符合预期结果1. 符合预期结果,修改密码,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/10,2,,
667,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页点击右上角设置点击退出登录是否跳入相应界面,,"1. 讲师首页点击右上角设置
2. 点击退出登录","1. 
2. 跳入相应界面","1. 
2.",,3,功能测试,,正常,0,1,2,通过,燕子,2021/12/9,燕子,2021/12/9,2,,
666,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页点击右上角设置点击回到首页是否跳入相应界面,,"1. 讲师首页点击右上角
2. 点击回到首页","1. 
2. 跳入相应界面","1. 
2.",,3,功能测试,,正常,0,1,2,通过,燕子,2021/12/9,燕子,2021/12/9,2,,
665,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页是否显示常见问题,,1. 查看讲师首页,1. 显示常见问题,1,,3,功能测试,,正常,0,2,1,通过,燕子,2021/12/9,朱霄涵,2021/12/11,2,,
664,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页点击右上角设置是否显示退出登录选项,,1. 讲师首页点击右上角设置,1. 显示退出登录选项,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,朱霄涵,2021/12/11,2,,
663,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页点击右上角设置是否显示回到首页选项,,1. 讲师首页点击右上角设置,1. 显示回到首页选项,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,朱霄涵,2021/12/11,2,,
662,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页是否显示正确的我的大班课数目,,1. 查看讲师首页我的大班课数目,1. 显示正确的我的大班课数目,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,朱霄涵,2021/12/11,2,,
661,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页点击帮助中心是否跳入相应界面,,1. 讲师首页点击帮助中心,1. 跳入相应界面,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,朱霄涵,2021/12/11,2,,
660,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页点击我的大班课是否跳入相应界面,,1. 讲师首页点击我的大班课,1. 跳入相应界面,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,朱霄涵,2021/12/11,2,,
659,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页点击账号选项是否跳入相应界面,,1. 讲师首页点击账号选项,1. 跳入相应界面,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,朱霄涵,2021/12/11,2,,
658,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),讲师首页点击直播课堂是否跳入相应界面,,1. 讲师首页点击直播课堂,1. 跳入相应界面,1,,3,功能测试,,正常,0,1,1,通过,燕子,2021/12/9,朱霄涵,2021/12/11,2,,
656,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师首页(#412),首页能否显示正常的图标,登录成功，IE9及以上版本浏览器，能上网,"1. 查看首页
2. 与操作文档比对","1. 
2. 与操作文档一致","1. 
2.",,3,功能测试,"
功能测试阶段",正常,0,1,2,通过,燕子,2021/12/9,朱霄涵,2021/12/11,1,,
651,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台登录(#423),管理员输入非管理员账号，错误的密码，错误的验证码,管理员输入的为已注册的前端用户账号，非后台专有的管理员账号。,1. 输入非管理员账号，错误的密码，错误的验证码,1. 提示验证码错误,符合预期结果1. 符合预期结果,管理员账号,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/11,2,,
650,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台登录(#423),管理员输入非管理员账号，正确的密码，错误的验证码,管理员输入非管理员账号，正确的密码，错误的验证码,1. 管理员输入非管理员账号，正确的密码，错误的验证码,1. 提示验证码错误，登录失败,符合预期结果1. 符合预期结果,管理员账号,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/11,2,,
649,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台登录(#423),管理员输入非管理员账号，错误的密码，正确的验证码,管理员输入非管理员账号，错误的密码，正确的验证码,1. 管理员输入非管理员账号，错误的密码，正确的验证码,1. 提示用户名不存在，登录失败,符合预期结果1. 符合预期结果,管理员账号,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/11,2,,
648,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台登录(#423),管理员输入非管理员账号，正确的密码，正确的验证码,管理员输入非管理员账号，正确的密码，正确的验证码,1. 管理员输入非管理员账号，正确的密码，正确的验证码,1. 提示用户名不存在，登录失败,符合预期结果1. 符合预期结果,管理员账号,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/11,2,,
647,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台登录(#423),管理员输入管理员账号，正确的密码，错误的验证码,管理员输入管理员账号，正确的密码，错误的验证码,1. 管理员输入管理员账号，正确的密码，错误的验证码,1. 提示验证码错误，登录失败,符合预期结果1. 符合预期结果,管理员账号,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/11,2,,
646,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台登录(#423),管理员输入管理员账号，错误的密码，错误的验证码,管理员输入管理员账号，错误的密码，错误的验证码,1. 管理员输入管理员账号，错误的密码，错误的验证码,1. 提示验证码错误，登录失败,符合预期结果1. 符合预期结果,管理员账号,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/11,2,,
645,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台登录(#423),管理员输入管理员账号，错误的密码，正确的验证码,管理员输入管理员账号，错误的密码，正确的验证码,1. 管理员输入管理员账号，错误的密码，正确的验证码,1. 提示密码错误，登录失败,符合预期结果1. 符合预期结果,管理员账号,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/11,2,,
644,万岳在线教育系统WEB开源版(#202),/后台管理员模块(#152),后台登录(#423),管理员输入管理员账号，正确的密码，正确的验证码,管理员输入管理员账号，正确的密码，正确的验证码,1. 管理员输入管理员账号，正确的密码，正确的验证码,1. 提示登录成功，登录成功,符合预期结果1. 符合预期结果,管理员账号,1,安全相关,"
功能测试阶段",正常,0,1,1,通过,朱霄涵,2021/12/9,朱霄涵,2021/12/11,2,,
407,万岳在线教育系统WEB开源版(#202),/讲师模块(#151),讲师登录(#411),讲师输入正确账号和密码是否能登录成功,IE9以上浏览器，可以正常上网,"1. 输入账号
1.1. 13866666666
2. 输入密码
2.1. 123456
3. 点击登录","1. 
1.1. 输入成功
2. 
2.1. 输入成功
3. 显示登录成功，跳转至讲师首页","1. 
1.1. 
2. 
2.1. 
3.",,3,安全相关,"
功能测试阶段",正常,0,1,3,通过,燕子,2021/12/8,朱霄涵,2021/12/11,2,,
e2.5 兼容性测试,,,,,,,,,,,,,,,,,,,,,,,,
e2.5.1 客户端操作系统测试,,,,,,,,,,,,,,,,,,,,,,,,
不同操作系统下系统是否能够正确显示与运行，如Win、Mac、Linux是否可以正常运行。,,,,,,,,,,,,,,,,,,,,,,,,
用例编号,用例实施,,期望输出,实际效果,,,,,,,,,,,,,,,,,,,,
,动作,输入,,,,,,,,,,,,,,,,,,,,,,
硬件的兼容性,最低配置是否满足系统运行要求,,满足,与期望一致,,,,,,,,,,,,,,,,,,,,
,推荐配置下系统响应速度是否满足需求,,满足,与期望一致,,,,,,,,,,,,,,,,,,,,
,软件运行对硬件的特殊要求,,无,与期望一致,,,,,,,,,,,,,,,,,,,,
,Liunx,,满足,与期望一致,,,,,,,,,,,,,,,,,,,,
操作系统的兼容性,Windows xp,,满足,与期望一致,,,,,,,,,,,,,,,,,,,,
,Windows 2000,,满足,与期望一致,,,,,,,,,,,,,,,,,,,,
,Windows 2003,,满足,与期望一致,,,,,,,,,,,,,,,,,,,,
,Liunx,,满足,与期望一致,,,,,,,,,,,,,,,,,,,,
